,NDVI,DATE,PDSI
140,0.10973513952933804,2006-03-22,
141,0.20567817623640125,2006-04-07,
142,0.2808638432616931,2006-04-23,
143,0.372759444565889,2006-05-09,
144,0.4981841436513434,2006-05-25,
145,0.5740602684076066,2006-06-10,0.8675694106098188
146,0.5852878518896781,2006-06-26,
147,0.5824889700947209,2006-07-12,
148,0.5617359212420563,2006-07-28,
149,0.5487728000528002,2006-08-13,
150,0.5196478799978339,2006-08-29,
151,0.5086187891881002,2006-09-14,
152,0.48875951838305093,2006-09-30,
153,0.471027483043215,2006-10-16,
154,0.3815218658278769,2006-11-01,-0.7359109310336612
155,0.2426688136611057,2006-11-17,
156,0.1940796586848774,2006-12-03,
157,0.18116525145432766,2006-12-19,
158,0.16114610225743742,2007-01-01,-0.06233549890038693
159,0.2030906151379603,2007-01-17,
